City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,axim,4.8699,-2.2405,80.51,80,41,7.92,GH,1733685863
1,solsona,41.994,1.5171,39.0,72,100,5.99,ES,1733685865
2,crane,31.3974,-102.3501,68.68,22,1,23.29,US,1733685596
3,saint-philippe,-21.3585,55.7679,77.16,85,18,10.27,RE,1733685867
4,olinda,-8.0089,-34.8553,83.93,70,75,13.8,BR,1733685868
5,edinburgh of the seven seas,-37.0676,-12.3116,61.75,88,100,29.28,SH,1733685870
6,papao,-17.75,-149.55,85.68,76,84,23.31,PF,1733685871
7,kuanda,56.3161,116.0806,2.84,98,100,0.47,RU,1733685873
8,staritsa,56.5075,34.9354,32.07,99,100,5.48,RU,1733685874
9,bargaal,11.2864,51.0773,75.97,77,21,10.51,SO,1733685875
10,polyarnyy,69.1989,33.4478,33.6,90,100,16.82,RU,1733685876
11,puerto natales,-51.7236,-72.4875,57.65,35,75,18.41,CL,1733685807
12,albany,42.6001,-73.9662,43.57,70,100,10.11,US,1733685856
13,waitangi,-43.9535,-176.5597,60.82,97,100,15.01,NZ,1733685880
14,stanley,54.868,-1.6985,44.62,89,40,16.11,GB,1733685881
15,thompson,55.7435,-97.8558,1.56,85,75,4.61,CA,1733685882
16,bilibino,68.0546,166.4372,-13.86,86,89,1.92,RU,1733685883
17,mwene-ditu,-7.0,23.45,65.71,95,16,3.96,CD,1733685884
18,bethel,41.3712,-73.414,50.94,50,100,4.0,US,1733685634
19,toliara,-23.35,43.6667,84.96,58,0,16.89,MG,1733685888
20,tadine,-21.55,167.8833,73.11,83,14,5.55,NC,1733685889
21,mil'kovo,55.6078,37.7956,26.74,57,100,6.53,RU,1733685890
22,richards bay,-28.783,32.0377,76.3,85,43,9.35,ZA,1733685892
23,port-aux-francais,-49.35,70.2167,37.4,98,100,29.71,TF,1733685893
24,lebu,-37.6167,-73.65,58.68,65,4,15.12,CL,1733685894
25,avarua,-21.2078,-159.775,78.85,78,100,2.3,CK,1733685895
26,la passe,45.5549,-0.8967,46.78,74,100,25.77,FR,1733685896
27,lihue,21.9789,-159.3672,73.74,94,20,5.75,US,1733685860
28,papatowai,-46.5619,169.4708,53.37,50,6,16.31,NZ,1733685899
29,saipan,15.1355,145.701,81.3,84,40,5.75,MP,1733685900
30,la'ie,21.6477,-157.9253,79.05,89,2,8.9,US,1733685901
31,georgetown,5.4112,100.3354,82.33,82,20,4.61,MY,1733685634
32,constantia,44.1833,28.65,45.7,91,100,10.11,RO,1733685903
33,ribeira grande,38.5167,-28.7,66.78,82,20,14.97,PT,1733685904
34,radnor,40.0462,-75.3599,57.27,41,0,13.8,US,1733685905
35,bam,29.106,58.357,48.38,28,5,2.91,IR,1733685906
36,adamstown,-25.066,-130.1015,72.82,77,75,20.22,PN,1733685908
37,punta arenas,-53.15,-70.9167,53.71,47,75,14.97,CL,1733685909
38,college,64.8569,-147.8028,-4.02,77,75,3.44,US,1733685910
39,saint-joseph,-21.3667,55.6167,75.58,86,14,9.48,RE,1733685911
40,maloye ganyushkino,46.6,49.2667,33.49,62,14,21.47,KZ,1733685912
41,ceeldheer,3.8488,47.1806,79.93,61,69,22.91,SO,1733685913
42,grytviken,-54.2811,-36.5092,34.92,70,99,9.46,GS,1733685914
43,margaret river,-33.95,115.0667,58.15,84,0,12.37,AU,1733685915
44,sundumbili,-29.1337,31.3975,73.89,90,98,2.59,ZA,1733685917
45,nemuro,43.3236,145.575,30.31,70,20,17.6,JP,1733685918
46,blackmans bay,-43.0167,147.3167,53.73,79,74,8.77,AU,1733685920
47,kodiak,57.79,-152.4072,44.11,93,100,20.71,US,1733685921
48,atafu village,-8.5421,-172.5159,83.79,68,100,15.97,TK,1733685922
49,san borja,-14.8167,-66.85,88.72,57,100,5.1,BO,1733685923
50,greenwood,34.1668,-82.1165,58.28,49,100,9.22,US,1733685706
51,cill airne,52.05,-9.5167,39.79,86,6,7.81,IE,1733685926
52,westport,41.1415,-73.3579,53.37,44,0,14.97,US,1733685927
53,utrik,11.2278,169.8474,81.27,71,12,24.34,MH,1733685928
54,morehead city,34.7229,-76.726,64.04,59,0,11.5,US,1733685808
55,conceicao da barra,-18.5933,-39.7322,84.13,62,100,10.76,BR,1733685930
56,longyearbyen,78.2186,15.6401,26.44,68,75,17.27,SJ,1733685931
57,labrador city,52.9463,-66.9114,9.18,69,75,4.61,CA,1733685933
58,hasaki,35.7333,140.8333,46.31,47,2,12.28,JP,1733685935
59,mugia,43.1041,-9.2179,55.06,60,7,24.81,ES,1733685936
60,hawaiian paradise park,19.5933,-154.9731,79.9,77,0,3.44,US,1733685937
61,takum,7.2667,9.9833,78.58,29,100,0.76,NG,1733685938
62,roxas,11.5853,122.7511,79.56,89,100,15.01,PH,1733685940
63,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,41,75,15.66,RU,1733685941
64,mwatate,-3.5029,38.3795,72.01,76,59,5.64,KE,1733685942
65,tiksi,71.6872,128.8694,-10.28,97,100,5.55,RU,1733685943
66,kingston,17.997,-76.7936,85.15,70,40,9.22,JM,1733685762
67,nizhnesortymskiy,62.4397,71.7603,4.17,95,63,13.13,RU,1733685945
68,puerto leguizamo,-0.1934,-74.7819,94.05,33,72,5.75,CO,1733685947
69,marijampole,54.5667,23.35,36.32,95,100,8.97,LT,1733685948
70,vorgashor,67.5833,63.95,9.66,94,100,17.67,RU,1733685949
71,tando muhammad khan,25.123,68.5358,64.24,10,0,7.25,PK,1733685950
72,hami,42.8,93.45,23.76,66,69,3.29,CN,1733685951
73,maracas,-13.4411,-40.4308,85.05,32,6,7.74,BR,1733685952
74,port mathurin,-19.6833,63.4167,77.04,84,85,12.91,MU,1733685953
75,talnakh,69.4865,88.3972,5.25,97,100,7.96,RU,1733685954
76,la spezia,44.1105,9.8434,50.04,62,100,3.0,IT,1733685956
77,qaqortoq,60.7167,-46.0333,31.03,98,100,11.95,GL,1733685957
78,santa rosalia,27.3167,-112.2833,72.14,33,0,7.18,MX,1733685958
79,cidade velha,14.9167,-23.6167,77.47,69,75,11.5,CV,1733685959
80,sandnessjoen,66.0217,12.6316,39.42,65,75,9.22,NO,1733685960
81,luderitz,-26.6481,15.1594,67.39,62,26,20.96,NA,1733685961
82,west island,-12.1568,96.8225,78.78,94,75,17.27,CC,1733685962
83,ushuaia,-54.8,-68.3,49.66,53,75,20.71,AR,1733685808
84,muleba,-1.8397,31.6544,67.96,69,9,2.71,TZ,1733685965
85,klyuchi,52.2667,79.1667,-3.1,99,91,5.5,RU,1733685966
86,lata,40.1629,-8.3327,43.2,80,0,5.41,PT,1733685967
87,itanagar,27.1,93.6167,55.54,68,1,4.81,IN,1733685969
88,cradock,-32.1642,25.6192,64.99,82,63,8.97,ZA,1733685970
89,hermanus,-34.4187,19.2345,63.81,70,85,8.52,ZA,1733685971
90,chui,-33.6971,-53.4616,62.19,53,0,13.82,UY,1733685972
91,cova figueira,14.8905,-24.2934,65.97,69,100,13.38,CV,1733685973
92,iqaluit,63.7506,-68.5145,-7.31,69,75,26.46,CA,1733685974
93,saldanha,-33.0117,17.9442,64.45,78,53,21.47,ZA,1733685976
94,tolanaro,-25.0319,46.9987,78.87,78,75,13.8,MG,1733685977
95,tralee,52.2704,-9.7026,41.09,81,14,7.94,IE,1733685978
96,greymouth,-42.4667,171.2,55.99,81,57,9.51,NZ,1733685979
97,ust-nera,64.5667,143.2,-21.06,98,100,2.82,RU,1733685980
98,hithadhoo,-0.6,73.0833,81.39,73,100,12.48,MV,1733685981
99,lawrenceburg,38.0373,-84.8966,57.99,50,100,13.8,US,1733685983
100,bredasdorp,-34.5322,20.0403,63.61,68,32,5.06,ZA,1733685985
101,tanjung pandan,-2.75,107.65,81.23,84,92,8.81,ID,1733685986
102,la sarre,48.8002,-79.1996,15.37,86,100,8.43,CA,1733685987
103,east london,-33.0153,27.9116,72.72,91,100,5.1,ZA,1733685988
104,ensisheim,47.867,7.3521,42.44,87,100,5.01,FR,1733685989
105,cabedelo,-6.9811,-34.8339,84.87,69,32,16.02,BR,1733685990
106,haiku-pauwela,20.9219,-156.3051,78.04,73,20,15.99,US,1733685991
107,wailua homesteads,22.0669,-159.378,74.12,94,20,5.75,US,1733685993
108,luanda,-8.8368,13.2343,80.6,74,20,6.91,AO,1733685994
109,bikenibeu village,1.3673,173.1241,78.76,94,100,8.05,KI,1733685995
110,keflavik,64.0049,-22.5624,46.83,100,100,40.29,IS,1733685996
111,broome,42.2506,-75.833,44.19,74,100,10.36,US,1733685997
112,codrington,-38.2667,141.9667,51.24,79,100,4.59,AU,1733685998
113,uyskoye,54.3775,60.0047,1.33,92,75,2.46,RU,1733686001
114,dauphin,51.1494,-100.0502,21.34,93,100,14.97,CA,1733686002
115,slaton,33.4373,-101.6435,63.95,30,0,21.0,US,1733686003
116,qamdo,31.1667,97.2333,22.57,52,0,7.09,CN,1733686004
117,namibe,-15.1961,12.1522,74.07,78,84,10.02,AO,1733686006
118,invercargill,-46.4,168.35,49.01,81,32,11.01,NZ,1733686007
119,anadyr,64.75,177.4833,-3.5,77,100,8.95,RU,1733686008
120,yellowknife,62.456,-114.3525,12.72,92,75,9.22,CA,1733686009
121,mount isa,-20.7333,139.5,78.57,83,7,0.0,AU,1733686010
122,nishinoomote,30.7333,131.0,53.38,53,0,17.45,JP,1733686011
123,aasiaat,68.7098,-52.8699,16.43,81,10,12.55,GL,1733686012
124,taroa,8.7058,171.2275,81.21,77,100,25.46,MH,1733686013
125,sola,-13.8833,167.55,82.35,80,99,13.49,VU,1733686015
126,tazovsky,67.4667,78.7,6.01,93,100,12.8,RU,1733686016
127,guaraciaba do norte,-4.1669,-40.7475,84.49,35,90,5.46,BR,1733686017
128,badger,64.8,-147.5333,-1.95,82,0,3.44,US,1733686018
129,san jeronimo de juarez,17.1333,-100.4667,86.0,56,24,8.5,MX,1733686019
130,macusani,-14.0833,-70.4333,51.42,59,85,9.37,PE,1733686020
131,smara,26.7384,-11.6719,69.78,40,18,9.93,EH,1733686021
132,bodden town,19.2833,-81.25,82.4,73,75,13.8,KY,1733686023
133,nar'yan-mar,67.6713,53.087,19.87,92,100,17.0,RU,1733686025
134,fale old settlement,-9.3852,-171.2468,82.33,78,100,14.18,TK,1733685974
135,shimoda,34.6667,138.95,47.08,61,89,9.84,JP,1733686027
136,sivas,39.7916,37.0019,36.23,93,75,6.91,TR,1733686029
137,lompoc,34.6391,-120.4579,69.01,56,20,4.61,US,1733686030
138,garissa,-0.4536,39.6401,85.98,53,98,11.95,KE,1733686031
139,baihe,22.15,107.2333,56.95,65,100,2.93,CN,1733686032
140,cabo san lucas,22.8909,-109.9124,79.11,31,100,7.0,MX,1733685865
141,nova sintra,14.8667,-24.7167,77.4,67,100,6.46,CV,1733686034
142,porto novo,6.4965,2.6036,81.1,62,5,6.62,BJ,1733686035
143,khadan khak,30.7477,67.7085,30.4,46,0,11.79,PK,1733686036
144,sisimiut,66.9395,-53.6735,22.14,72,59,12.39,GL,1733686038
145,south hedland,-20.4089,118.5983,84.13,89,75,5.75,AU,1733686039
146,krasnyy chikoy,50.3643,108.7512,4.93,99,100,0.98,RU,1733686040
147,kenai,60.5544,-151.2583,35.15,95,100,9.22,US,1733686041
148,khash,28.2211,61.2158,37.8,33,0,4.16,IR,1733686042
149,dudinka,69.4058,86.1778,12.9,95,100,13.11,RU,1733686043
150,sault ste. marie,46.5168,-84.3333,32.29,74,100,6.91,CA,1733686044
151,saint-francois,46.4154,3.9054,42.42,94,100,6.91,FR,1733686046
152,soure,-0.7167,-48.5233,83.19,69,17,11.18,BR,1733686047
153,howard springs,-12.497,131.047,76.91,100,100,4.21,AU,1733686048
154,kailua-kona,19.6406,-155.9956,80.56,64,0,3.44,US,1733685852
155,jamestown,42.097,-79.2353,40.64,81,100,11.5,US,1733685834
156,chhor,25.5167,69.7667,62.69,11,0,9.69,PK,1733686051
157,bereket,39.2446,55.5154,35.71,59,100,27.67,TM,1733686052
158,i-n-salah,27.1935,2.4607,66.2,24,100,6.87,DZ,1733686053
159,savanna-la-mar,18.219,-78.1332,83.93,73,67,9.46,JM,1733686055
160,dalbandin,28.8947,64.4101,42.58,27,0,4.83,PK,1733685851
161,raton,36.9034,-104.4391,56.01,18,0,5.75,US,1733686057
162,port blair,11.6667,92.75,82.44,83,75,5.75,IN,1733686058
163,swakopmund,-22.6833,14.5333,61.14,89,20,3.8,NA,1733686059
164,pemba,-12.974,40.5178,81.57,78,21,8.43,MZ,1733686060
165,parabel',58.6978,81.4825,-4.0,99,49,5.28,RU,1733686061
166,ironwood,46.4547,-90.171,36.41,75,100,4.61,US,1733686062
167,kiffa,16.6166,-11.4045,77.32,11,100,9.17,MR,1733686064
168,wakkanai,45.4094,141.6739,31.06,58,100,21.12,JP,1733686065
169,tome acu,-2.4189,-48.1522,87.76,53,100,4.59,BR,1733686066
170,pahrump,36.2083,-115.9839,57.83,21,100,5.99,US,1733686067
171,miyaly,48.8844,53.7836,24.04,42,40,8.93,KZ,1733686068
172,tahe,52.3333,124.7333,-0.54,98,100,2.62,CN,1733686069
173,pandan,14.0453,124.1694,79.84,91,100,14.54,PH,1733686070
174,maintirano,-18.0667,44.0167,82.76,76,28,11.61,MG,1733686071
175,paita,-5.0892,-81.1144,73.26,72,26,16.64,PE,1733686073
176,nuuk,64.1835,-51.7216,32.61,55,75,11.5,GL,1733686074
177,lauro de freitas,-12.8944,-38.3272,82.42,74,20,16.11,BR,1733686075
178,ballesteros,18.4126,121.5152,75.42,87,91,15.17,PH,1733686076
179,st. john's,47.5649,-52.7093,30.97,66,75,6.91,CA,1733685847
180,vila franca do campo,37.7167,-25.4333,64.89,99,73,9.6,PT,1733686078
181,haimen,23.1935,116.6142,60.55,72,100,20.36,CN,1733686080
182,kristiansund,63.1115,7.732,39.13,81,75,1.14,NO,1733686082
183,puerto ayora,-0.7393,-90.3518,75.54,90,36,7.0,EC,1733686083
184,vila velha,-20.3297,-40.2925,84.15,78,20,17.27,BR,1733685818
185,ilulissat,69.2167,-51.1,26.62,50,1,17.27,GL,1733686086
186,guerrero negro,27.9769,-114.0611,74.88,30,0,1.81,MX,1733686087
187,san patricio,28.017,-97.5169,57.15,75,100,5.7,US,1733686088
188,volkovysk,53.1561,24.4513,35.94,91,100,11.39,BY,1733686089
189,anjozorobe,-18.4,47.8667,64.85,73,0,5.88,MG,1733686090
190,rongelap,11.1635,166.8941,81.81,75,26,22.93,MH,1733686091
191,lagoa,39.05,-27.9833,63.97,88,7,16.69,PT,1733686092
192,kavaratti,10.5669,72.642,81.84,78,89,8.61,IN,1733686093
193,muravlenko,63.7898,74.523,4.14,88,100,17.67,RU,1733686095
194,isafjordur,66.0755,-23.124,41.72,88,100,25.77,IS,1733686096
195,solwezi,-12.1688,26.3894,61.25,97,100,3.09,ZM,1733686097
196,twentynine palms,34.1356,-116.0542,69.85,16,100,1.5,US,1733686042
197,sangmelima,2.9333,11.9833,75.96,43,96,1.32,CM,1733686099
198,lido di jesolo,45.5069,12.6469,44.94,100,100,25.93,IT,1733686100
199,siwa oasis,29.2041,25.5195,59.45,43,0,3.85,EG,1733686101
200,paka,4.6374,103.4368,76.98,88,100,2.3,MY,1733686103
201,walin,27.9833,83.7667,48.65,78,0,3.6,NP,1733686104
202,quellon,-43.1167,-73.6167,55.17,58,100,10.67,CL,1733686105
203,ko lanta,7.5336,99.0865,80.08,82,100,13.89,TH,1733686106
204,mata-utu,-13.2816,-176.1745,81.99,81,100,19.42,WF,1733686107
205,fuerte olimpo,-21.0415,-57.8738,85.73,72,100,9.01,PY,1733686110
206,cobija,-11.0267,-68.7692,93.9,38,10,4.56,BO,1733686111
207,suva,-18.1416,178.4415,81.88,83,40,9.22,FJ,1733686113
